score	name	file	dir	reason
180	robocopy-copy-master-v2-20260620-000059.log	C:\ENGREMIAT_CORE\reports\template-improvement\e09d1-new-safe-project-launcher-v2\robocopy-copy-master-v2-20260620-000059.log	C:\ENGREMIAT_CORE\reports\template-improvement\e09d1-new-safe-project-launcher-v2	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	e09e-repair-new-project-graph-root-backbone.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09e-repair-new-project-graph\e09e-repair-new-project-graph-root-backbone.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09e-repair-new-project-graph	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	robocopy-backup-official-before-e08j-20260619-233647.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08j-graph-backbone\robocopy-backup-official-before-e08j-20260619-233647.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08j-graph-backbone	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	e09d1-new-safe-project-launcher-v2-repaired.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09d1-new-safe-project-launcher-v2\e09d1-new-safe-project-launcher-v2-repaired.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09d1-new-safe-project-launcher-v2	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	e08j-repair-obsidian-graph-backbone-official-master-v2.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08j-graph-backbone\e08j-repair-obsidian-graph-backbone-official-master-v2.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08j-graph-backbone	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	GATE_E08H_APLICADO.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08h-apply-v2-official-master\GATE_E08H_APLICADO.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08h-apply-v2-official-master	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	e08a-sources-summary.tsv	C:\ENGREMIAT_CORE\reports\template-improvement\e08a-project-audit\e08a-sources-summary.tsv	C:\ENGREMIAT_CORE\reports\template-improvement\e08a-project-audit	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	robocopy-copy-master-to-sandbox-20260619-231652.log	C:\ENGREMIAT_CORE\reports\template-improvement\robocopy-copy-master-to-sandbox-20260619-231652.log	C:\ENGREMIAT_CORE\reports\template-improvement	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	e08b-template-candidates.tsv	C:\ENGREMIAT_CORE\reports\template-improvement\e08b-template-map\e08b-template-candidates.tsv	C:\ENGREMIAT_CORE\reports\template-improvement\e08b-template-map	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	e08b-duplicated-master-template-map.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08b-template-map\e08b-duplicated-master-template-map.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08b-template-map	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	robocopy-backup-master-e07-20260619-231838.log	C:\ENGREMIAT_CORE\reports\template-improvement\robocopy-backup-master-e07-20260619-231838.log	C:\ENGREMIAT_CORE\reports\template-improvement	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	e05-apply-drafts-with-backup-and-gate-report.json	C:\ENGREMIAT_CORE\reports\template-improvement\e05-apply-drafts-with-backup-and-gate-report.json	C:\ENGREMIAT_CORE\reports\template-improvement	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	e08i-sandbox-test-new-project-from-official-master-v2.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08i-sandbox-project-v2\e08i-sandbox-test-new-project-from-official-master-v2.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08i-sandbox-project-v2	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	robocopy-backup-master-20260619-231559.log	C:\ENGREMIAT_CORE\reports\template-improvement\robocopy-backup-master-20260619-231559.log	C:\ENGREMIAT_CORE\reports\template-improvement	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	robocopy-apply-master-20260619-231559.log	C:\ENGREMIAT_CORE\reports\template-improvement\robocopy-apply-master-20260619-231559.log	C:\ENGREMIAT_CORE\reports\template-improvement	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	E08B_MAPA_PLANTILLAS_DUPLICADAS.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08b-template-map\E08B_MAPA_PLANTILLAS_DUPLICADAS.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08b-template-map	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	e08h-apply-staging-v2-to-official-master-with-backup.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08h-apply-v2-official-master\e08h-apply-staging-v2-to-official-master-with-backup.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08h-apply-v2-official-master	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	e08g-review-staging-v2-designed-and-prepare-gate-no-apply.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08g-review-staging-v2\e08g-review-staging-v2-designed-and-prepare-gate-no-apply.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08g-review-staging-v2	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	GATE_E08H_APPLY_STAGING_V2_TO_OFFICIAL_MASTER.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08g-review-staging-v2\GATE_E08H_APPLY_STAGING_V2_TO_OFFICIAL_MASTER.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08g-review-staging-v2	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	e08d-build-hybrid-staging-from-rich-original-no-apply.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08d-hybrid-staging\e08d-build-hybrid-staging-from-rich-original-no-apply.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08d-hybrid-staging	00_PLANTILLA_MAESTRA_OFICIAL,filename
180	e08c-rich-vs-active-comparison.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08c-rich-vs-active\e08c-rich-vs-active-comparison.json	C:\ENGREMIAT_CORE\reports\template-improvement\e08c-rich-vs-active	00_PLANTILLA_MAESTRA_OFICIAL,filename
100	e06-sandbox-test-new-project-and-module-from-clean-templates-report.json	C:\ENGREMIAT_CORE\reports\template-improvement\e06-sandbox-test-new-project-and-module-from-clean-templates-report.json	C:\ENGREMIAT_CORE\reports\template-improvement	00_PLANTILLA_MAESTRA_OFICIAL
100	03_NEXT_BLOCK_EXT04_PROJECT_REVIEW_SAFE.md	C:\ENGREMIAT_CORE\data\operator-extension-plan\03_NEXT_BLOCK_EXT04_PROJECT_REVIEW_SAFE.md	C:\ENGREMIAT_CORE\data\operator-extension-plan	00_PLANTILLA_MAESTRA_OFICIAL
100	e02b-create-template-improvement-workspace-no-apply-safe-report.json	C:\ENGREMIAT_CORE\reports\template-improvement\e02b-create-template-improvement-workspace-no-apply-safe-report.json	C:\ENGREMIAT_CORE\reports\template-improvement	00_PLANTILLA_MAESTRA_OFICIAL
100	operator-baseline-freeze.v1.json	C:\ENGREMIAT_CORE\data\operator-navigation-freeze\operator-baseline-freeze.v1.json	C:\ENGREMIAT_CORE\data\operator-navigation-freeze	00_PLANTILLA_MAESTRA_OFICIAL
100	04_CIERRE_BASELINE_OPERADOR_AMPLIABLE.md	C:\ENGREMIAT_CORE\data\operator-extension-plan\04_CIERRE_BASELINE_OPERADOR_AMPLIABLE.md	C:\ENGREMIAT_CORE\data\operator-extension-plan	00_PLANTILLA_MAESTRA_OFICIAL
100	robocopy-official-to-isolated-vault-20260619-234357.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08l-isolated-graph-vault\robocopy-official-to-isolated-vault-20260619-234357.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08l-isolated-graph-vault	00_PLANTILLA_MAESTRA_OFICIAL
100	00_FREEZE_INDEX.md	C:\ENGREMIAT_CORE\data\operator-navigation-freeze\00_FREEZE_INDEX.md	C:\ENGREMIAT_CORE\data\operator-navigation-freeze	00_PLANTILLA_MAESTRA_OFICIAL
100	robocopy-active-00-control-to-hybrid-20260619-232534.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08d-hybrid-staging\robocopy-active-00-control-to-hybrid-20260619-232534.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08d-hybrid-staging	00_PLANTILLA_MAESTRA_OFICIAL
100	robocopy-active-00-ctl-to-hybrid-20260619-232534.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08d-hybrid-staging\robocopy-active-00-ctl-to-hybrid-20260619-232534.log	C:\ENGREMIAT_CORE\reports\template-improvement\e08d-hybrid-staging	00_PLANTILLA_MAESTRA_OFICIAL
100	e07-repair-clean-templates-to-operator-contract-00-control-report.json	C:\ENGREMIAT_CORE\reports\template-improvement\e07-repair-clean-templates-to-operator-contract-00-control-report.json	C:\ENGREMIAT_CORE\reports\template-improvement	00_PLANTILLA_MAESTRA_OFICIAL
80	E09H_FINAL_CLEAN_GRAPH_PROFILE_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09h-clean-graph-profile-final\E09H_FINAL_CLEAN_GRAPH_PROFILE_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09h-clean-graph-profile-final	filename
80	e09h-final-clean-graph-profile-for-new-project.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09h-clean-graph-profile-final\e09h-final-clean-graph-profile-for-new-project.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09h-clean-graph-profile-final	filename
80	E09A_PLAN_PLANTILLA_MODULO_INICIAL_V2.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08m-close-master-v2\E09A_PLAN_PLANTILLA_MODULO_INICIAL_V2.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08m-close-master-v2	filename
80	graph-before-e09h-20260620-001204.json.bak	C:\ENGREMIAT_CORE\reports\template-improvement\e09h-clean-graph-profile-final\graph-before-e09h-20260620-001204.json.bak	C:\ENGREMIAT_CORE\reports\template-improvement\e09h-clean-graph-profile-final	filename
80	E09G_CLEAN_OPERATIONAL_GRAPH_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09g-clean-operational-graph\E09G_CLEAN_OPERATIONAL_GRAPH_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09g-clean-operational-graph	filename
80	E09D1_NEW_SAFE_PROJECT_CREATED_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09d1-new-safe-project-launcher-v2\E09D1_NEW_SAFE_PROJECT_CREATED_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09d1-new-safe-project-launcher-v2	filename
80	E08G_REVISION_STAGING_V2_DISENADO.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08g-review-staging-v2\E08G_REVISION_STAGING_V2_DISENADO.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08g-review-staging-v2	filename
80	E08A_ANALISIS_PROYECTO_Y_BACKUPS.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08a-project-audit\E08A_ANALISIS_PROYECTO_Y_BACKUPS.md	C:\ENGREMIAT_CORE\reports\template-improvement\e08a-project-audit	filename
80	e04b-review-drafts-and-prepare-apply-gate-no-apply-bool-fix-report.json	C:\ENGREMIAT_CORE\reports\template-improvement\e04b-review-drafts-and-prepare-apply-gate-no-apply-bool-fix-report.json	C:\ENGREMIAT_CORE\reports\template-improvement	filename
80	e09g-clean-operational-graph-profile-and-zone-indexes.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09g-clean-operational-graph\e09g-clean-operational-graph-profile-and-zone-indexes.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09g-clean-operational-graph	filename
80	E09F_ROOT_NAVIGATION_MAP_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09f-root-navigation-map\E09F_ROOT_NAVIGATION_MAP_SUMMARY.md	C:\ENGREMIAT_CORE\reports\template-improvement\e09f-root-navigation-map	filename
80	e09f-build-root-navigation-map-to-reduce-orphans.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09f-root-navigation-map\e09f-build-root-navigation-map-to-reduce-orphans.json	C:\ENGREMIAT_CORE\reports\template-improvement\e09f-root-navigation-map	filename
